Indicativo;NOMBRE;z;NOM_PROV;x;y;Año;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;Mínimo
C018E;TINAJO (CHINERO);300;LAS PALMAS;-13.75055556;29.01111111;1992;10,0;11,0;12,0;11,5;13,0;14,5;16,0;17,5;16,0;13,5;13,2;10,0;10,0
C018E;TINAJO (CHINERO);300;LAS PALMAS;-13.75055556;29.01111111;1993;9,2;10,0;10,5;11,0;9,5;15,0;16,5;16,5;16,0;15,0;11,0;14,0;9,2
C018E;TINAJO (CHINERO);300;LAS PALMAS;-13.75055556;29.01111111;1994;11,0;11,0;11,0;10,5;12,0;15,0;17,5;18,0;16,0;15,0;15,0;12,0;10,5
C018E;TINAJO (CHINERO);300;LAS PALMAS;-13.75055556;29.01111111;1995;10,5;11,0;12,0;13,0;15,5;15,5;17,5;18,5;17,5;16,5;12,0;12,5;10,5
C018E;TINAJO (CHINERO);300;LAS PALMAS;-13.75055556;29.01111111;1996;11,0;11,5;10,0;12,5;14,0;15,5;17,0;18,5;17,0;16,0;13,5;11,5;10,0
C018E;TINAJO (CHINERO);300;LAS PALMAS;-13.75055556;29.01111111;1997;9,5;12,0;12,5;13,0;15,0;16,5;16,5;17,5;17,0;17,0;15,0;13,5;9,5
C018E;TINAJO (CHINERO);300;LAS PALMAS;-13.75055556;29.01111111;1998;11,0;13,0;12,5;13,0;13,0;16,0;17,0;18,0;17,5;15,0;13,0;11,0;11,0
C018E;TINAJO (CHINERO);300;LAS PALMAS;-13.75055556;29.01111111;1999;8,0;9,5;11,0;13,0;14,0;15,5;16,5;17,0;16,5;13,0;11,0;10,0;8,0
C018E;TINAJO (CHINERO);300;LAS PALMAS;-13.75055556;29.01111111;2000;7,0;11,0;12,0;11,5;13,5;15,5;17,0;18,0;17,0;15,5;14,0;11,5;7,0
C018E;TINAJO (CHINERO);300;LAS PALMAS;-13.75055556;29.01111111;2001;11,0;11,5;12,0;13,0;13,0;16,0;17,0;18,0;17,0;15,5;12,5;;
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;1989;8,5;;10,4;9,6;;;;;;;;;
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;1992;9,0;9,0;10,5;10,5;12,0;12,8;15,7;15,5;15,2;13,5;12,4;9,8;9,0
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;1993;9,1;9,2;8,8;10,3;11,0;14,5;15,3;15,9;15,3;13,3;9,0;11,1;8,8
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;1994;7,0;8,4;8,8;9,3;11,2;13,3;15,7;16,9;15,0;12,7;13,4;11,8;7,0
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;1995;9,7;9,2;9,7;11,1;13,7;14,2;16,0;17,4;15,9;14,8;11,0;11,6;9,2
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;1996;10,2;10,1;8,7;11,2;12,7;14,3;15,6;14,6;15,8;14,8;12,6;10,7;8,7
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;1997;8,1;10,7;10,6;11,7;13,0;14,4;15,6;15,8;16,3;14,5;13,0;11,5;8,1
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;1998;9,1;11,8;11,1;11,5;12,0;14,2;16,0;17,0;16,3;15,0;12,9;11,0;9,1
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;1999;6,5;8,7;9,7;11,0;12,6;13,7;16,1;16,6;16,0;13,0;11,6;10,3;6,5
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2000;6,1;9,9;10,3;10,1;11,9;14,0;15,9;16,7;15,6;13,6;12,4;10,2;6,1
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2001;10,2;9,8;11,8;11,2;11,5;14,2;15,2;16,2;16,8;14,7;11,5;12,4;9,8
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2002;10,8;9,9;9,6;;11,6;13,1;14,2;15,3;14,7;15,6;12,5;12,0;
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2003;9,5;9,5;10,8;11,5;12,7;14,8;16,8;18,0;17,2;15,0;12,5;11,3;9,5
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2004;10,3;11,2;10,5;9,9;11,9;13,9;16,2;18,2;17,3;16,0;12,2;9,0;9,0
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2005;7,4;7,7;8,7;11,0;13,0;13,7;16,0;17,0;16,4;;;10,8;
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2006;;;;;;;;;;15,0;12,5;9,8;
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2007;9,9;9,7;10,2;9,5;11,8;13,7;16,0;14,8;15,5;15,2;12,7;10,7;9,5
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2008;10,5;10,4;11,4;11,2;12,6;13,8;15,2;16,5;;;10,2;;
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2009;9,2;9,4;10,0;10,7;11,9;13,5;17,3;17,2;16,2;16,0;13,4;;
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2010;10,0;11,0;11,2;12,5;13,2;14,3;15,8;17,0;16,3;15,7;13,0;12,0;10,0
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2011;11,0;9,9;7,1;12,0;10,3;15,3;15,8;16,5;16,1;15,3;12,8;10,7;7,1
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2012;9,4;8,5;9,3;9,5;10,6;14,7;15,7;16,2;16,7;;13,0;10,8;
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2013;9,9;10,5;10,0;12,0;11,6;13,6;14,9;16,8;16,4;13,6;12,1;11,3;9,9
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2014;9,9;9,1;;11,2;13,6;14,5;15,8;17,4;16,7;16,2;10,1;11,0;
C018J;TÍAS (LAS VEGAS);376;LAS PALMAS;-13.69033333;28.96972222;2015;10,3;9,2;10,1;11,2;;;;;;;;;
C019V;YAIZA (PLAYA BLANCA);6;LAS PALMAS;-13.85055556;28.85888889;1992;11,6;11,0;13,0;10,6;15,0;15,8;18,8;18,0;18,6;18,0;14,0;12,8;10,6
C019V;YAIZA (PLAYA BLANCA);6;LAS PALMAS;-13.85055556;28.85888889;1993;12,0;11,8;13,0;12,6;14,6;19,8;;19,6;20,4;19,8;16,6;16,8;
C019V;YAIZA (PLAYA BLANCA);6;LAS PALMAS;-13.85055556;28.85888889;1994;13,8;12,8;12,8;11,0;15,0;16,6;18,6;19,8;17,8;18,0;17,2;16,0;11,0
C019V;YAIZA (PLAYA BLANCA);6;LAS PALMAS;-13.85055556;28.85888889;1995;14,6;16,6;18,2;18,8;18,2;16,0;17,2;18,6;17,2;16,0;14,0;12,6;12,6
